0,1,2,3,4,5,6,7,y
60,48,36,60,48,36,63,66,51
48,36,60,48,36,63,66,51,54
36,60,48,36,63,66,51,54,67
60,48,36,63,66,51,54,67,39
48,36,63,66,51,54,67,39,55
36,63,66,51,54,67,39,55,60
63,66,51,54,67,39,55,60,68
66,51,54,67,39,55,60,68,56
51,54,67,39,55,60,68,56,36
54,67,39,55,60,68,56,36,48
67,39,55,60,68,56,36,48,67
39,55,60,68,56,36,48,67,47
55,60,68,56,36,48,67,47,36
60,68,56,36,48,67,47,36,66
68,56,36,48,67,47,36,66,67
56,36,48,67,47,36,66,67,78
36,48,67,47,36,66,67,78,67
48,67,47,36,66,67,78,67,79
67,47,36,66,67,78,67,79,67
47,36,66,67,78,67,79,67,79
36,66,67,78,67,79,67,79,58
66,67,78,67,79,67,79,58,34
67,78,67,79,67,79,58,34,46
78,67,79,67,79,58,34,46,49
67,79,67,79,58,34,46,49,61
79,67,79,58,34,46,49,61,58
67,79,58,34,46,49,61,58,34
79,58,34,46,49,61,58,34,46
58,34,46,49,61,58,34,46,40
34,46,49,61,58,34,46,40,41
46,49,61,58,34,46,40,41,43
49,61,58,34,46,40,41,43,64
61,58,34,46,40,41,43,64,65
58,34,46,40,41,43,64,65,62
34,46,40,41,43,64,65,62,64
46,40,41,43,64,65,62,64,67
40,41,43,64,65,62,64,67,65
41,43,64,65,62,64,67,65,61
43,64,65,62,64,67,65,61,58
64,65,62,64,67,65,61,58,46
65,62,64,67,65,61,58,46,45
62,64,67,65,61,58,46,45,57
64,67,65,61,58,46,45,57,33
67,65,61,58,46,45,57,33,67
65,61,58,46,45,57,33,67,57
61,58,46,45,57,33,67,57,73
58,46,45,57,33,67,57,73,73
46,45,57,33,67,57,73,73,72
45,57,33,67,57,73,73,72,70
57,33,67,57,73,73,72,70,69
33,67,57,73,73,72,70,69,72
67,57,73,73,72,70,69,72,70
57,73,73,72,70,69,72,70,72
73,73,72,70,69,72,70,72,32
73,72,70,69,72,70,72,32,44
72,70,69,72,70,72,32,44,56
70,69,72,70,72,32,44,56,32
69,72,70,72,32,44,56,32,44
72,70,72,32,44,56,32,44,56
70,72,32,44,56,32,44,56,36
72,32,44,56,32,44,56,36,48
32,44,56,32,44,56,36,48,61
44,56,32,44,56,36,48,61,37
56,32,44,56,36,48,61,37,56
32,44,56,36,48,61,37,56,65
44,56,36,48,61,37,56,65,61
56,36,48,61,37,56,65,61,41
36,48,61,37,56,65,61,41,44
48,61,37,56,65,61,41,44,53
61,37,56,65,61,41,44,53,68
37,56,65,61,41,44,53,68,56
56,65,61,41,44,53,68,56,44
65,61,41,44,53,68,56,44,54
61,41,44,53,68,56,44,54,60
41,44,53,68,56,44,54,60,54
44,53,68,56,44,54,60,54,51
53,68,56,44,54,60,54,51,61
68,56,44,54,60,54,51,61,44
56,44,54,60,54,51,61,44,54
44,54,60,54,51,61,44,54,44
54,60,54,51,61,44,54,44,54
60,54,51,61,44,54,44,54,51
54,51,61,44,54,44,54,51,54
51,61,44,54,44,54,51,54,63
61,44,54,44,54,51,54,63,54
44,54,44,54,51,54,63,54,60
54,44,54,51,54,63,54,60,51
44,54,51,54,63,54,60,51,51
54,51,54,63,54,60,51,51,54
51,54,63,54,60,51,51,54,51
54,63,54,60,51,51,54,51,66
63,54,60,51,51,54,51,66,60
54,60,51,51,54,51,66,60,54
60,51,51,54,51,66,60,54,54
51,51,54,51,66,60,54,54,44
51,54,51,66,60,54,54,44,44
54,51,66,60,54,54,44,44,44
51,66,60,54,54,44,44,44,44
66,60,54,54,44,44,44,44,61
60,54,54,44,44,44,44,61,53
54,54,44,44,44,44,61,53,53
54,44,44,44,44,61,53,53,53
